time,pr,pet
347155200000,47.82166540622711,90.67500000000001
349833600000,28.836013793945312,62.475
352252800000,94.6163547039032,129.61875
354931200000,13.79652589559555,150.375
357523200000,7.333288460969925,253.03750000000002
360201600000,0.0,229.625
362793600000,0.0,261.175
365472000000,0.0,251.58437500000002
368150400000,0.0,200.4375
370742400000,11.80970048904419,165.97916666666666
373420800000,26.044955849647522,96.46875
376012800000,20.42130720615387,63.550000000000004
378691200000,28.037585973739624,59.54583333333333
381369600000,20.086072206497192,144.9
383788800000,133.08350944519043,124.290625
386467200000,48.81397604942322,170.125
389059200000,0.0,228.43125
391737600000,3.3450349420309067,258.09375
394329600000,0.0,268.053125
397008000000,0.3211728101596236,246.25625000000002
399686400000,10.725915133953094,203.90625
402278400000,27.600117802619934,164.49375
404956800000,66.98074579238892,109.125
407548800000,28.024734914302826,67.16666666666667
410227200000,130.1998610496521,90.09375
412905600000,69.14042091369629,88.66666666666669
415324800000,111.98324871063232,127.10000000000001
418003200000,28.80139946937561,143.25
420595200000,5.771340116858482,214.190625
423273600000,0.0,253.875
425865600000,0.0,260.88437500000003
428544000000,0.0,244.80312500000002
431222400000,11.781171262264252,199.21875
433814400000,12.04027584195137,182.25416666666666
436492800000,53.71625304222107,94.5
439084800000,43.497353196144104,42.237500000000004
441763200000,7.946041941642761,76.72500000000001
444441600000,24.891494274139404,91.16875
446947200000,20.471059560775757,164.39687500000002
449625600000,6.826069951057434,200.53125
452217600000,0.0,227.4625
454896000000,0.0,254.71875
457488000000,0.7869771458208561,271.346875
460166400000,0.0,253.909375
462844800000,0.0,201.9375
465436800000,16.13120597600937,136.14166666666665
468115200000,34.331785440444946,82.5
470707200000,31.519840598106384,54.44375
473385600000,15.557575702667236,64.325
476064000000,10.899994969367981,71.86666666666667
478483200000,45.506431102752686,164.3
481161600000,14.362303912639618,163.3125
483753600000,0.0,197.721875
486432000000,0.0,240.5625
489024000000,0.0,277.0625
491702400000,0.0,250.034375
494380800000,5.209659934043884,195.1875
496972800000,19.854269683361053,153.0625
499651200000,74.97613191604614,118.96875
502243200000,24.63662099838257,108.5
504921600000,40.114400029182434,69.3625
507600000000,72.07935333251953,94.5
510019200000,100.16296434402466,100.75
512697600000,12.855886816978455,139.375
515289600000,4.506763070821762,213.70625
517968000000,0.0,251.25
520560000000,0.0,277.83750000000003
523238400000,0.0,253.61875
525916800000,5.948494970798492,191.53125
528508800000,5.332935601472855,162.16875000000002
531187200000,14.776850044727325,90.9375
533779200000,31.49368393421173,73.04375
536457600000,54.44934570789337,
539136000000,43.36037826538086,98.7
541555200000,88.77709937095642,154.515625
544233600000,9.945148229598999,173.0
546825600000,7.672503307461739,236.375
549504000000,0.0,257.71875
552096000000,0.0,266.21250000000003
554774400000,0.0,251.003125
557452800000,0.0,184.25
560044800000,17.393401741981506,150.60833333333335
562723200000,15.021847486495972,97.125
565315200000,35.91001749038696,65.68125
567993600000,55.913527607917786,64.61562500000001
570672000000,22.994273602962494,83.465625
573177600000,21.292160034179688,130.84583333333336
575856000000,33.584522008895874,194.5
578448000000,5.730239823460579,229.27083333333331
581126400000,2.729978486895561,258.84375
583718400000,0.0,271.153125
586396800000,0.0,256.71875
589075200000,0.0,199.03125
591667200000,7.952049881219864,156.16250000000002
594345600000,20.037365555763245,95.0625
596937600000,20.790098428726196,55.800000000000004
599616000000,12.485602468252182,108.11250000000001
602294400000,35.89290761947632,84.78750000000001
604713600000,37.656527280807495,142.01875
607392000000,10.082504153251648,174.375
609984000000,7.0195780247449875,239.18437500000002
612662400000,0.0,238.78125
615254400000,0.0,275.41562500000003
617932800000,0.0,247.6125
620611200000,14.684782326221466,203.34375
623203200000,9.16304835677147,130.71666666666667
625881600000,6.337263286113739,91.375
628473600000,0.0,65.875
631152000000,48.0079882144928,39.9125
633830400000,19.55630373954773,75.775
636249600000,28.247777938842773,134.65625
638928000000,9.289188086986542,158.8125
641520000000,15.307061344385147,205.76250000000002
644198400000,0.0,247.96875
646790400000,0.0,272.02500000000003
649468800000,0.0,247.70937500000002
652147200000,5.703007131814957,188.90625
654739200000,6.0560548305511475,142.6
657417600000,8.188692927360535,95.53125
660009600000,6.56761522591114,37.00625
662688000000,15.576908648014069,66.90833333333333
665366400000,26.25349473953247,90.41666666666667
667785600000,167.6223382949829,130.5875
670464000000,7.54160463809967,144.5
673056000000,0.0,201.1125
675734400000,0.0,239.90625
678326400000,0.0,270.184375
681004800000,0.47774506360292435,252.359375
683683200000,0.0,192.65625
686275200000,11.78427368402481,153.96666666666667
688953600000,0.0,99.5625
691545600000,35.18274545669556,84.21666666666668
694224000000,45.458489537239075,116.12083333333335
696902400000,60.25282001495361,104.88333333333333
699408000000,53.074018120765686,132.33125
702086400000,9.793005287647247,180.09375
704678400000,0.0,244.38333333333333
707356800000,0.0,260.0625
709948800000,0.0,268.440625
712627200000,0.0,254.78125
715305600000,0.0,205.78125
717897600000,26.91628623008728,140.37187500000002
720576000000,8.472666442394257,84.125
723168000000,49.503108739852905,53.73333333333333
725846400000,136.167142868042,67.29583333333333
728524800000,69.34056568145752,85.92500000000001
730944000000,90.86817646026611,139.984375
733622400000,11.083721816539764,208.875
736214400000,7.871575087308884,239.47500000000002
738892800000,0.0,254.90625
741484800000,0.0,266.115625
744163200000,0.0,243.05937500000002
746841600000,0.0,193.5
749433600000,10.101268082857132,155.775
752112000000,31.16069197654724,119.90625
754704000000,30.163457930088043,92.41875
757382400000,32.669562339782715,148.8
760060800000,49.40608072280884,95.55000000000001
762480000000,32.13982152938843,155.775
765158400000,19.699344635009766,196.75
767750400000,17.38201779127121,240.44375000000002
770428800000,0.0,261.84375
773020800000,0.0,262.53125
775699200000,0.0,243.253125
778377600000,12.027163803577423,198.84375
780969600000,13.954228192567825,152.41666666666666
783648000000,23.96011233329773,97.03125
786240000000,13.53588879108429,53.475
788918400000,147.47987413406372,
791596800000,12.765310525894165,94.15
794016000000,184.3401198387146,164.009375
796694400000,18.823161721229553,187.25
799286400000,12.0609530210495,223.20000000000002
801964800000,0.0,248.90625
804556800000,0.0,263.596875
807235200000,0.0,237.34375
809913600000,0.0,188.15625
812505600000,5.574142411351204,161.84583333333336
815184000000,8.908735513687134,90.75
817776000000,40.36251509189606,61.128125000000004
820454400000,45.420854687690735,66.39166666666668
823132800000,81.23356676101685,107.390625
825638400000,53.57818615436554,136.7875
828316800000,10.15460193157196,171.5625
830908800000,5.962621808052063,233.92083333333332
833587200000,0.0,258.09375
836179200000,0.0,276.675
838857600000,0.0,245.675
841536000000,3.691546618938446,200.0625
844128000000,30.112861156463623,135.140625
846806400000,37.65134811401367,88.0
849398400000,91.574059009552,49.212500000000006
852076800000,117.99781060218811,60.966666666666676
854755200000,15.742947101593018,68.5125
857174400000,23.19891357421875,136.884375
859852800000,5.272859483957291,163.625
862444800000,0.0,231.24062500000002
865123200000,0.0,263.34375
867715200000,0.0,274.834375
870393600000,0.0,248.87187500000002
873072000000,5.377833545207977,192.1875
875664000000,7.051874741911888,160.8125
878342400000,43.416255712509155,84.28125
880934400000,46.76310396194458,85.34687500000001
883612800000,75.48811721801758,84.47500000000001
886291200000,135.95284461975098,96.71666666666667
888710400000,70.48069405555725,135.140625
891388800000,45.91822028160095,179.25
893980800000,20.12292242050171,223.00625000000002
896659200000,0.0,265.96875
899251200000,0.0,273.090625
901929600000,0.0,242.09062500000002
904608000000,5.962420105934143,194.34375
907200000000,10.729149043560028,163.91250000000002
909878400000,27.84871995449066,110.71875
912470400000,7.446257680654526,57.446875000000006
915148800000,91.619313955307,70.525
917827200000,29.99949836730957,73.38333333333333
920246400000,36.54655420780182,126.51875000000001
922924800000,19.461475610733032,184.875
925516800000,4.949065864086151,205.56875000000002
928195200000,0.0,244.125
930787200000,0.0,271.153125
933465600000,1.1035207509994507,249.9375
936144000000,0.0,197.34375
938736000000,6.194861054420471,171.66250000000002
941414400000,10.57655543088913,103.96875
944006400000,0.0,55.929166666666674
946684800000,77.15672612190247,49.987500000000004
949363200000,81.94974708557129,107.54166666666669
951868800000,41.03179752826691,109.371875
954547200000,32.12071180343628,181.875
957139200000,7.028324320912361,233.4041666666667
959817600000,0.0,257.71875
962409600000,0.0,268.15000000000003
965088000000,1.172552466392517,232.1125
967766400000,0.0,187.21875
970358400000,22.006394386291504,168.659375
973036800000,5.796612650156021,83.75
975628800000,10.057045102119446,78.01666666666668
978307200000,82.92547154426575,81.18125
980985600000,42.96257543563843,102.72500000000001
983404800000,69.2148711681366,139.88750000000002
986083200000,28.8877934217453,189.625
988675200000,0.0,248.38750000000002
991353600000,0.0,260.625
993945600000,0.0,269.89375
996624000000,0.6300573721528053,239.0875
999302400000,0.0,206.4375
1001894400000,12.529435575008392,129.29583333333335
1004572800000,51.795727014541626,82.0
1007164800000,57.0284378528595,39.9125
1009843200000,26.426166594028473,69.94375000000001
1012521600000,10.654790759086609,99.75
1014940800000,37.20986473560333,151.51250000000002
1017619200000,6.648412048816681,168.75
1020211200000,0.0,239.571875
1022889600000,1.9252219051122665,261.28125
1025481600000,0.0,271.928125
1028160000000,0.0,257.396875
1030838400000,0.0,194.8125
1033430400000,5.76634381711483,163.525
1036108800000,34.72018003463745,87.125
1038700800000,52.62948417663574,40.6875
